rung,outcome,progress_frames,thumbs,save_bytes,save_ms,doc_bytes,total_bytes,history_bytes,history_table_bytes,vmrss,vmhwm,ms
edit:64:4+clear+thumbs,survived,,64,,,67108864,68288512,0,0,268304384,268304384,965
edit:256:1,survived,,,,,67108864,69007360,0,718848,270831616,270831616,675
edit:256:4+clear+thumbs,survived,,256,,,268435456,273154048,0,0,510021632,512348160,5975
edit:512:1,survived,,,,,134217728,137143808,0,566784,358445056,512348160,2191
edit:1024:1+clear+thumbs,survived,,1024,,,268435456,273154048,0,0,494071808,512348160,8345
edit:256:4+clear+save,survived,,,268785715,3393,268435456,273154048,0,0,755736576,1037017088,6874
edit:1024:4+clear+thumbs,survived,,1024,,,335544320,354418688,0,0,631558144,1037017088,61355
edit:1024:4+clear+save,survived,,,336045363,2996,335544320,354418688,0,0,971833344,1324027904,52208
edit:1024:8+clear,survived,,,,,335544320,373293056,0,0,662532096,1324027904,95326
edit:1024:16+clear,survived,,,,,335544320,411041792,0,0,728211456,1324027904,338814
edit:1024:32+clear,survived,,,,,335544320,486539264,0,0,868884480,1324027904,1432908
