time,rung,pss_total_kb,native_kb,graphics_kb
2026-07-16T06:10:17.3236066-04:00,edit:1024:1+clear+thumbs,569717,361924,140560
2026-07-16T06:10:20.6418194-04:00,edit:1024:1+clear+thumbs,615612,365744,172228
2026-07-16T06:10:24.1491291-04:00,edit:256:4+clear+save,1364700,1137924,150612
2026-07-16T06:10:27.7136840-04:00,edit:256:4+clear+save,462366,237480,152080
2026-07-16T06:10:31.1387932-04:00,edit:1024:4+clear+thumbs,862939,637672,152080
2026-07-16T06:10:34.6095173-04:00,edit:1024:4+clear+thumbs,1126647,901200,152080
2026-07-16T06:10:38.0156837-04:00,edit:1024:4+clear+thumbs,1315198,1089624,152080
2026-07-16T06:10:41.4675376-04:00,edit:1024:4+clear+thumbs,1472663,1248088,152080
2026-07-16T06:10:45.0355479-04:00,edit:1024:4+clear+thumbs,1609427,1384776,152080
2026-07-16T06:10:48.5733802-04:00,edit:1024:4+clear+thumbs,1727420,1502736,152080
2026-07-16T06:10:52.0033910-04:00,edit:1024:4+clear+thumbs,1822981,1598224,152080
2026-07-16T06:10:55.6359584-04:00,edit:1024:4+clear+thumbs,1924294,1699496,152080
2026-07-16T06:10:59.3613883-04:00,edit:1024:4+clear+thumbs,1996200,1771328,152080
2026-07-16T06:11:03.2451581-04:00,edit:1024:4+clear+thumbs,2077828,1852900,152080
2026-07-16T06:11:10.6023602-04:00,edit:1024:4+clear+save,807812,606720,142480
2026-07-16T06:11:14.1232638-04:00,edit:1024:4+clear+save,1080373,872588,142480
2026-07-16T06:11:17.5518295-04:00,edit:1024:4+clear+save,1293153,1085260,142480
2026-07-16T06:11:21.0177116-04:00,edit:1024:4+clear+save,1435635,1227632,142480
2026-07-16T06:11:24.5066854-04:00,edit:1024:4+clear+save,1604619,1395976,142480
2026-07-16T06:11:27.9274094-04:00,edit:1024:4+clear+save,1729593,1520852,142480
2026-07-16T06:11:31.4939318-04:00,edit:1024:4+clear+save,1838109,1629284,142480
2026-07-16T06:11:34.9888065-04:00,edit:1024:4+clear+save,1916465,1707572,142480
2026-07-16T06:11:38.5871765-04:00,edit:1024:4+clear+save,1970492,1761624,142480
2026-07-16T06:11:42.3182014-04:00,edit:1024:4+clear+save,2070752,1861948,142480
2026-07-16T06:11:50.1446813-04:00,edit:1024:8+clear,999349,806448,143956
2026-07-16T06:11:53.3973321-04:00,edit:1024:8+clear,1323742,1124132,143956
2026-07-16T06:11:56.5400638-04:00,edit:1024:8+clear,1510409,1310696,143956
2026-07-16T06:11:59.7535559-04:00,edit:1024:8+clear,1604452,1404744,143956
2026-07-16T06:12:02.9748873-04:00,edit:1024:8+clear,1716826,1517036,143956
2026-07-16T06:12:06.3479897-04:00,edit:1024:8+clear,1820140,1620320,143956
2026-07-16T06:12:09.6963168-04:00,edit:1024:8+clear,1877308,1677136,143956
2026-07-16T06:12:13.2705820-04:00,edit:1024:8+clear,1980759,1780488,143956
2026-07-16T06:12:24.0690208-04:00,edit:1024:16+clear,830089,638012,142736
2026-07-16T06:12:27.5355081-04:00,edit:1024:16+clear,1413088,1214208,142736
2026-07-16T06:12:30.9114478-04:00,edit:1024:16+clear,1792448,1593460,142736
2026-07-16T06:12:43.5247242-04:00,edit:1024:32+clear,1461779,1269160,142740
2026-07-16T06:12:47.4022211-04:00,edit:1024:32+clear,2013693,1813912,142740
